"Region","fecha","Año","Semana","Casos"
"Región de Los Ríos",2017-01-01,2017,1,71
"Región de Los Ríos",2017-01-08,2017,2,70
"Región de Los Ríos",2017-01-15,2017,3,73
"Región de Los Ríos",2017-01-22,2017,4,49
"Región de Los Ríos",2017-01-29,2017,5,47
"Región de Los Ríos",2017-02-05,2017,6,50
"Región de Los Ríos",2017-02-12,2017,7,73
"Región de Los Ríos",2017-02-19,2017,8,69
"Región de Los Ríos",2017-02-26,2017,9,79
"Región de Los Ríos",2017-03-05,2017,10,66
"Región de Los Ríos",2017-03-12,2017,11,74
"Región de Los Ríos",2017-03-19,2017,12,77
"Región de Los Ríos",2017-03-26,2017,13,98
"Región de Los Ríos",2017-04-02,2017,14,108
"Región de Los Ríos",2017-04-09,2017,15,84
"Región de Los Ríos",2017-04-16,2017,16,109
"Región de Los Ríos",2017-04-23,2017,17,126
"Región de Los Ríos",2017-04-30,2017,18,112
"Región de Los Ríos",2017-05-07,2017,19,119
"Región de Los Ríos",2017-05-14,2017,20,128
"Región de Los Ríos",2017-05-21,2017,21,175
"Región de Los Ríos",2017-05-28,2017,22,184
"Región de Los Ríos",2017-06-04,2017,23,226
"Región de Los Ríos",2017-06-11,2017,24,237
"Región de Los Ríos",2017-06-18,2017,25,229
"Región de Los Ríos",2017-06-25,2017,26,221
"Región de Los Ríos",2017-07-02,2017,27,184
"Región de Los Ríos",2017-07-09,2017,28,208
"Región de Los Ríos",2017-07-16,2017,29,147
"Región de Los Ríos",2017-07-23,2017,30,170
"Región de Los Ríos",2017-07-30,2017,31,146
"Región de Los Ríos",2017-08-06,2017,32,132
"Región de Los Ríos",2017-08-13,2017,33,150
"Región de Los Ríos",2017-08-20,2017,34,134
"Región de Los Ríos",2017-08-27,2017,35,133
"Región de Los Ríos",2017-09-03,2017,36,168
"Región de Los Ríos",2017-09-10,2017,37,153
"Región de Los Ríos",2017-09-17,2017,38,169
"Región de Los Ríos",2017-09-24,2017,39,158
"Región de Los Ríos",2017-10-01,2017,40,132
"Región de Los Ríos",2017-10-08,2017,41,146
"Región de Los Ríos",2017-10-15,2017,42,118
"Región de Los Ríos",2017-10-22,2017,43,130
"Región de Los Ríos",2017-10-29,2017,44,128
"Región de Los Ríos",2017-11-05,2017,45,128
"Región de Los Ríos",2017-11-12,2017,46,144
"Región de Los Ríos",2017-11-19,2017,47,117
"Región de Los Ríos",2017-11-26,2017,48,120
"Región de Los Ríos",2017-12-03,2017,49,118
"Región de Los Ríos",2017-12-10,2017,50,121
"Región de Los Ríos",2017-12-17,2017,51,97
"Región de Los Ríos",2017-12-24,2017,52,97
"Región de Los Ríos",2018-01-01,2018,1,108
"Región de Los Ríos",2018-01-08,2018,2,92
"Región de Los Ríos",2018-01-15,2018,3,81
"Región de Los Ríos",2018-01-22,2018,4,44
"Región de Los Ríos",2018-01-29,2018,5,70
"Región de Los Ríos",2018-02-05,2018,6,74
"Región de Los Ríos",2018-02-12,2018,7,56
"Región de Los Ríos",2018-02-19,2018,8,59
"Región de Los Ríos",2018-02-26,2018,9,51
"Región de Los Ríos",2018-03-05,2018,10,49
"Región de Los Ríos",2018-03-12,2018,11,61
"Región de Los Ríos",2018-03-19,2018,12,85
"Región de Los Ríos",2018-03-26,2018,13,84
"Región de Los Ríos",2018-04-02,2018,14,86
"Región de Los Ríos",2018-04-09,2018,15,67
"Región de Los Ríos",2018-04-16,2018,16,81
"Región de Los Ríos",2018-04-23,2018,17,92
"Región de Los Ríos",2018-04-30,2018,18,96
"Región de Los Ríos",2018-05-07,2018,19,98
"Región de Los Ríos",2018-05-14,2018,20,99
"Región de Los Ríos",2018-05-21,2018,21,120
"Región de Los Ríos",2018-05-28,2018,22,128
"Región de Los Ríos",2018-06-04,2018,23,145
"Región de Los Ríos",2018-06-11,2018,24,182
"Región de Los Ríos",2018-06-18,2018,25,192
"Región de Los Ríos",2018-06-25,2018,26,248
"Región de Los Ríos",2018-07-02,2018,27,191
"Región de Los Ríos",2018-07-09,2018,28,221
"Región de Los Ríos",2018-07-16,2018,29,175
"Región de Los Ríos",2018-07-23,2018,30,165
"Región de Los Ríos",2018-07-30,2018,31,157
"Región de Los Ríos",2018-08-06,2018,32,146
"Región de Los Ríos",2018-08-13,2018,33,172
"Región de Los Ríos",2018-08-20,2018,34,162
"Región de Los Ríos",2018-08-27,2018,35,120
"Región de Los Ríos",2018-09-03,2018,36,162
"Región de Los Ríos",2018-09-10,2018,37,155
"Región de Los Ríos",2018-09-17,2018,38,157
"Región de Los Ríos",2018-09-24,2018,39,153
"Región de Los Ríos",2018-10-01,2018,40,153
"Región de Los Ríos",2018-10-08,2018,41,127
"Región de Los Ríos",2018-10-15,2018,42,147
