"Region","Modelo"
"Total País","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Antofagasta","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Arica y Parinacota","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Atacama","ARIMA(1,1,1)(1,1,1)[52]"
"Región de Aysén","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Coquimbo","ARIMA(2,1,2)(1,1,1)[52]"
"Región de La Araucanía","ARIMA(1,1,1)(0,1,1)[52]"
"Región de Los Lagos","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Los Ríos","ARIMA(2,1,2)(1,1,0)[52]"
"Región de Magallanes","ARIMA(0,1,1)(0,1,1)[52]"
"Región de Ñuble","ARIMA(1,1,1)(1,1,1)[52]"
"Región de O'Higgins","ARIMA(1,1,1)(1,1,1)[52]"
"Región de Tarapacá","ARIMA(2,1,1)(1,1,0)[52]"
"Región de Valparaíso","ARIMA(0,1,1)(0,1,1)[52]"
"Región del Biobío","ARIMA(1,1,1)(0,1,1)[52]"
"Región del Maule","ARIMA(2,1,1)(0,1,1)[52]"
"Región Metropolitana","ARIMA(2,1,1)(1,1,0)[52]"
