"Region","fecha","Casos","Imputado"
"Total País",2017-01-01,2212,FALSE
"Total País",2017-01-08,1831,FALSE
"Total País",2017-01-15,1676,FALSE
"Total País",2017-01-22,1670,FALSE
"Total País",2017-01-29,1581,FALSE
"Total País",2017-02-05,1507,FALSE
"Total País",2017-02-12,1584,FALSE
"Total País",2017-02-19,1690,FALSE
"Total País",2017-02-26,1503,FALSE
"Total País",2017-03-05,1505,FALSE
"Total País",2017-03-12,1932,FALSE
"Total País",2017-03-19,2251,FALSE
"Total País",2017-03-26,2462,FALSE
"Total País",2017-04-02,2581,FALSE
"Total País",2017-04-09,2745,FALSE
"Total País",2017-04-16,2749,FALSE
"Total País",2017-04-23,2604,FALSE
"Total País",2017-04-30,2953,FALSE
"Total País",2017-05-07,3011,FALSE
"Total País",2017-05-14,3288,FALSE
"Total País",2017-05-21,4291,FALSE
"Total País",2017-05-28,5045,FALSE
"Total País",2017-06-04,5850,FALSE
"Total País",2017-06-11,6235,FALSE
"Total País",2017-06-18,6709,FALSE
"Total País",2017-06-25,7298,FALSE
"Total País",2017-07-02,6332,FALSE
"Total País",2017-07-09,5960,FALSE
"Total País",2017-07-16,5601,FALSE
"Total País",2017-07-23,4746,FALSE
"Total País",2017-07-30,4399,FALSE
"Total País",2017-08-06,4393,FALSE
"Total País",2017-08-13,4741,FALSE
"Total País",2017-08-20,4465,FALSE
"Total País",2017-08-27,4208,FALSE
"Total País",2017-09-03,4042,FALSE
"Total País",2017-09-10,3802,FALSE
"Total País",2017-09-17,4204,FALSE
"Total País",2017-09-24,3766,FALSE
"Total País",2017-10-01,3331,FALSE
"Total País",2017-10-08,3247,FALSE
"Total País",2017-10-15,3018,FALSE
"Total País",2017-10-22,3067,FALSE
"Total País",2017-10-29,2832,FALSE
"Total País",2017-11-05,2793,FALSE
"Total País",2017-11-12,2829,FALSE
"Total País",2017-11-19,2626,FALSE
"Total País",2017-11-26,2474,FALSE
"Total País",2017-12-03,2487,FALSE
"Total País",2017-12-10,2324,FALSE
"Total País",2017-12-17,2093,FALSE
"Total País",2017-12-24,2213,FALSE
"Total País",2018-01-01,2242,FALSE
"Total País",2018-01-08,1894,FALSE
"Total País",2018-01-15,1675,FALSE
"Total País",2018-01-22,1484,FALSE
"Total País",2018-01-29,1537,FALSE
"Total País",2018-02-05,1421,FALSE
"Total País",2018-02-12,1539,FALSE
"Total País",2018-02-19,1517,FALSE
"Total País",2018-02-26,1568,FALSE
"Total País",2018-03-05,1523,FALSE
"Total País",2018-03-12,1982,FALSE
"Total País",2018-03-19,2468,FALSE
"Total País",2018-03-26,2687,FALSE
"Total País",2018-04-02,2644,FALSE
"Total País",2018-04-09,2567,FALSE
"Total País",2018-04-16,2638,FALSE
"Total País",2018-04-23,2643,FALSE
"Total País",2018-04-30,2874,FALSE
"Total País",2018-05-07,2790,FALSE
"Total País",2018-05-14,3150,FALSE
"Total País",2018-05-21,3601,FALSE
"Total País",2018-05-28,3563,FALSE
"Total País",2018-06-04,3916,FALSE
"Total País",2018-06-11,4135,FALSE
"Total País",2018-06-18,5103,FALSE
"Total País",2018-06-25,5530,FALSE
"Total País",2018-07-02,5694,FALSE
"Total País",2018-07-09,6169,FALSE
"Total País",2018-07-16,6109,FALSE
"Total País",2018-07-23,5413,FALSE
"Total País",2018-07-30,5042,FALSE
"Total País",2018-08-06,5221,FALSE
"Total País",2018-08-13,5615,FALSE
"Total País",2018-08-20,5077,FALSE
"Total País",2018-08-27,4811,FALSE
"Total País",2018-09-03,4880,FALSE
"Total País",2018-09-10,4659,FALSE
"Total País",2018-09-17,4477,FALSE
"Total País",2018-09-24,4000,FALSE
